Frecuencia,Glifo Poli Cu D 0.1v2,Glifo Poli Cu D 0.08v2,Glifo Poli Cu D 0.04v2,Glifo Poli Cu D 0.02v2,Glifo Poli Cu D 0.01v2,Poli Cu D Agua V2,KCl Poli Cu D 0.1v2,KCl Poli Cu D 0.08v2,KCl Poli Cu D 0.04v2,KCl Poli Cu D 0.02v2,KCl Poli Cu D 0.01v2
5.77E+07,-10.63058,-9.57059,-5.47206,-2.95314,-1.78028,-0.04413,-13.77166,-11.49569,-5.94449,-3.08181,-1.57317
5.91E+07,-10.52685,-9.48688,-5.43464,-2.93376,-1.77057,-0.03921,-13.60887,-11.37414,-5.91055,-3.06875,-1.56935
6.05E+07,-10.44975,-9.42027,-5.40696,-2.92527,-1.76581,-0.04453,-13.453,-11.26232,-5.87424,-3.05394,-1.55633
6.19E+07,-10.35053,-9.33543,-5.37118,-2.90807,-1.75631,-0.04475,-13.29585,-11.16746,-5.84228,-3.04029,-1.5519
6.33E+07,-10.2715,-9.27839,-5.34709,-2.9008,-1.75208,-0.04907,-13.14797,-11.05574,-5.80468,-3.02204,-1.54315
6.47E+07,-10.18093,-9.18838,-5.30901,-2.87753,-1.73844,-0.04712,-12.99864,-10.95187,-5.77551,-3.01018,-1.54028
6.61E+07,-10.0801,-9.11749,-5.2725,-2.86403,-1.72995,-0.0457,-12.85407,-10.84931,-5.74401,-2.99591,-1.53605
6.75E+07,-9.98315,-9.04296,-5.23649,-2.84461,-1.71792,-0.04472,-12.70314,-10.74612,-5.70442,-2.976,-1.52524
6.89E+07,-9.91168,-8.97986,-5.20798,-2.83651,-1.71612,-0.0502,-12.53587,-10.63755,-5.66183,-2.95471,-1.51035
7.03E+07,-9.81482,-8.89696,-5.17577,-2.81829,-1.70401,-0.0499,-12.40973,-10.54138,-5.62768,-2.94267,-1.50785
7.17E+07,-9.73164,-8.83701,-5.14912,-2.80739,-1.69907,-0.05557,-12.27852,-10.43313,-5.58824,-2.91969,-1.49893
7.31E+07,-9.64384,-8.75266,-5.10723,-2.78961,-1.68952,-0.05527,-12.14119,-10.34435,-5.55799,-2.9124,-1.50018
7.45E+07,-9.5553,-8.68357,-5.07504,-2.77248,-1.67884,-0.05751,-11.98696,-10.24383,-5.51435,-2.89097,-1.49033
7.59E+07,-9.47,-8.61368,-5.04143,-2.75885,-1.67413,-0.06363,-11.87252,-10.13379,-5.48573,-2.87978,-1.4859
7.73E+07,-9.38688,-8.54075,-5.00743,-2.74755,-1.66615,-0.06444,-11.74488,-10.03711,-5.44709,-2.86167,-1.47651
7.87E+07,-9.30312,-8.46607,-4.9716,-2.72196,-1.65267,-0.06052,-11.61385,-9.94763,-5.4092,-2.84736,-1.4706
8.01E+07,-9.20596,-8.38291,-4.92772,-2.70651,-1.63863,-0.06142,-11.48763,-9.85563,-5.37544,-2.82987,-1.45907
8.15E+07,-9.13669,-8.32898,-4.90801,-2.69277,-1.63681,-0.06799,-11.35446,-9.75984,-5.33554,-2.81299,-1.45522
8.29E+07,-9.05224,-8.24646,-4.86833,-2.68165,-1.63307,-0.06988,-11.24471,-9.67208,-5.31004,-2.79839,-1.45308
8.43E+07,-8.96223,-8.17697,-4.83611,-2.66498,-1.61873,-0.07166,-11.12173,-9.5711,-5.26593,-2.78258,-1.44287
8.57E+07,-8.89199,-8.11685,-4.80323,-2.64835,-1.61477,-0.07607,-11.00282,-9.48806,-5.23406,-2.76286,-1.44094
8.71E+07,-8.81265,-8.05136,-4.77636,-2.64619,-1.61626,-0.08945,-10.90032,-9.39504,-5.20154,-2.75179,-1.43787
8.85E+07,-8.74091,-7.98689,-4.75495,-2.63767,-1.61675,-0.10034,-10.77462,-9.3081,-5.1623,-2.74081,-1.4319
8.99E+07,-8.67784,-7.92053,-4.72709,-2.61883,-1.60056,-0.10404,-10.65484,-9.23935,-5.13924,-2.72258,-1.42513
9.13E+07,-8.58846,-7.86371,-4.69659,-2.61814,-1.60663,-0.11693,-10.53601,-9.12181,-5.09542,-2.70708,-1.42804
9.27E+07,-8.52225,-7.7959,-4.67916,-2.60786,-1.61374,-0.13058,-10.44964,-9.04898,-5.07274,-2.71352,-1.43505
9.41E+07,-8.45917,-7.74143,-4.66302,-2.61105,-1.62559,-0.14752,-10.33317,-8.95817,-5.04859,-2.70772,-1.44146
9.55E+07,-8.43126,-7.72778,-4.67149,-2.64315,-1.65304,-0.18583,-10.22102,-8.87756,-5.02013,-2.6992,-1.45034
9.69E+07,-8.39959,-7.70306,-4.65561,-2.64531,-1.65643,-0.20577,-10.13983,-8.83075,-5.02823,-2.72516,-1.49111
9.83E+07,-8.31664,-7.62704,-4.60216,-2.60953,-1.63305,-0.18567,-10.09928,-8.81073,-5.05343,-2.76937,-1.54031
9.97E+07,-8.25188,-7.56854,-4.57658,-2.60387,-1.63138,-0.20066,-10.08514,-8.82262,-5.08684,-2.80251,-1.58576
1.01E+08,-8.21173,-7.53915,-4.56388,-2.61359,-1.65095,-0.22673,-10.06398,-8.79936,-5.06893,-2.79365,-1.57048
1.03E+08,-8.17525,-7.51823,-4.56241,-2.62166,-1.65615,-0.25302,-10.00179,-8.74181,-5.02071,-2.75297,-1.52029
1.04E+08,-8.12186,-7.46498,-4.51302,-2.5881,-1.62691,-0.23584,-9.89663,-8.63072,-4.93187,-2.69113,-1.4598
1.05E+08,-8.02178,-7.37594,-4.4492,-2.53641,-1.58705,-0.20346,-9.77836,-8.52145,-4.86479,-2.63578,-1.42199
1.07E+08,-7.94282,-7.29615,-4.39574,-2.49472,-1.55335,-0.17614,-9.67044,-8.42052,-4.80125,-2.58806,-1.38606
1.08E+08,-7.84945,-7.21856,-4.33962,-2.45437,-1.52184,-0.15733,-9.54174,-8.31169,-4.7344,-2.5412,-1.35639
1.10E+08,-7.76288,-7.13545,-4.29597,-2.42956,-1.49842,-0.14394,-9.44839,-8.2409,-4.69159,-2.52422,-1.34272
1.11E+08,-7.68755,-7.05791,-4.24973,-2.39733,-1.47875,-0.13432,-9.35056,-8.14813,-4.64694,-2.49762,-1.32798
1.12E+08,-7.61352,-6.98863,-4.20599,-2.37073,-1.46299,-0.12811,-9.26047,-8.06563,-4.60889,-2.47104,-1.3141
1.14E+08,-7.53867,-6.93103,-4.17536,-2.35023,-1.45362,-0.12462,-9.16083,-7.98392,-4.5588,-2.44243,-1.30128
1.15E+08,-7.46454,-6.86407,-4.14251,-2.33426,-1.43537,-0.12029,-9.07344,-7.90607,-4.52179,-2.42662,-1.29297
1.17E+08,-7.40058,-6.80034,-4.10014,-2.31422,-1.42195,-0.11638,-8.97242,-7.82693,-4.47442,-2.39998,-1.2782
1.18E+08,-7.32624,-6.73728,-4.05939,-2.28868,-1.40524,-0.11406,-8.88846,-7.74728,-4.43375,-2.38342,-1.26496
1.19E+08,-7.26534,-6.67497,-4.03045,-2.2729,-1.40361,-0.1118,-8.79871,-7.66781,-4.40264,-2.35925,-1.25528
1.21E+08,-7.18337,-6.61893,-3.98707,-2.24808,-1.37987,-0.10609,-8.72174,-7.6095,-4.36722,-2.35371,-1.2519
1.22E+08,-7.12351,-6.55111,-3.96206,-2.23838,-1.37398,-0.1095,-8.63499,-7.54134,-4.3412,-2.33038,-1.24495
1.24E+08,-7.0629,-6.49541,-3.92121,-2.21251,-1.35856,-0.10593,-8.54106,-7.46292,-4.28031,-2.2974,-1.22355
1.25E+08,-6.99297,-6.42744,-3.87733,-2.1894,-1.34498,-0.1018,-8.46301,-7.38735,-4.24619,-2.28178,-1.21272
1.26E+08,-6.93932,-6.37978,-3.8513,-2.17835,-1.33989,-0.10668,-8.39073,-7.3192,-4.21373,-2.27119,-1.20539
1.28E+08,-6.86802,-6.32034,-3.81216,-2.15264,-1.32201,-0.10028,-8.30402,-7.24388,-4.17132,-2.23603,-1.18944
1.29E+08,-6.8109,-6.26804,-3.78312,-2.1347,-1.31193,-0.09995,-8.22684,-7.17707,-4.13692,-2.21985,-1.1768
1.31E+08,-6.75443,-6.2173,-3.76065,-2.1288,-1.30545,-0.10359,-8.14278,-7.10618,-4.09275,-2.19359,-1.16078
1.32E+08,-6.69632,-6.16979,-3.73251,-2.11355,-1.30442,-0.10948,-8.0799,-7.04547,-4.06604,-2.17998,-1.15275
1.33E+08,-6.63392,-6.10793,-3.68889,-2.08577,-1.27651,-0.09494,-8.01246,-6.99386,-4.03981,-2.17373,-1.15793
1.35E+08,-6.57301,-6.05592,-3.65161,-2.06718,-1.26754,-0.09231,-7.94508,-6.93216,-4.00685,-2.15647,-1.15451
1.36E+08,-6.52046,-6.0017,-3.62527,-2.0525,-1.25916,-0.09706,-7.85917,-6.86633,-3.96274,-2.12706,-1.12685
1.38E+08,-6.45782,-5.9501,-3.59384,-2.03754,-1.23837,-0.08698,-7.79633,-6.80672,-3.93478,-2.11466,-1.12725
1.39E+08,-6.40008,-5.9008,-3.56374,-2.01956,-1.23638,-0.08944,-7.7268,-6.7448,-3.89853,-2.09892,-1.11565
1.40E+08,-6.34894,-5.84338,-3.53151,-1.99774,-1.22317,-0.08679,-7.65884,-6.69238,-3.86879,-2.08034,-1.10628
1.42E+08,-6.29002,-5.79543,-3.49296,-1.97949,-1.20892,-0.08326,-7.59178,-6.63273,-3.84092,-2.06654,-1.1069
1.43E+08,-6.24441,-5.74478,-3.47126,-1.97052,-1.20657,-0.08826,-7.52936,-6.57409,-3.80872,-2.0459,-1.0939
1.45E+08,-6.1907,-5.70598,-3.44883,-1.95741,-1.19903,-0.08916,-7.46939,-6.52574,-3.77899,-2.03831,-1.0929
1.46E+08,-6.14071,-5.65506,-3.41614,-1.94343,-1.18738,-0.08669,-7.4048,-6.46141,-3.74833,-2.01687,-1.07396
1.47E+08,-6.08697,-5.60935,-3.38838,-1.92689,-1.18346,-0.09008,-7.33483,-6.41301,-3.72216,-1.99903,-1.06305
1.49E+08,-6.04385,-5.56915,-3.35707,-1.91715,-1.17388,-0.08935,-7.2836,-6.3607,-3.68803,-1.98761,-1.05616
1.50E+08,-5.99214,-5.52272,-3.33587,-1.90414,-1.16901,-0.09518,-7.21859,-6.29987,-3.65662,-1.9706,-1.0516
1.52E+08,-5.93452,-5.46838,-3.29831,-1.8802,-1.14987,-0.08403,-7.15941,-6.25164,-3.62859,-1.94761,-1.04006
1.53E+08,-5.8952,-5.43321,-3.27743,-1.86888,-1.14608,-0.08675,-7.09363,-6.1957,-3.59968,-1.93876,-1.0313
1.54E+08,-5.84963,-5.39146,-3.25512,-1.85572,-1.14052,-0.09042,-7.04287,-6.1435,-3.57143,-1.91966,-1.02579
1.56E+08,-5.80311,-5.35061,-3.22945,-1.84236,-1.13258,-0.09118,-6.98218,-6.09412,-3.5393,-1.9045,-1.01672
1.57E+08,-5.7466,-5.30083,-3.19883,-1.82341,-1.1165,-0.08383,-6.91714,-6.04153,-3.50791,-1.88519,-1.00854
1.59E+08,-5.70941,-5.26235,-3.1809,-1.81257,-1.11766,-0.09577,-6.86494,-5.99086,-3.4841,-1.87721,-1.00015
1.60E+08,-5.65946,-5.22357,-3.15072,-1.79789,-1.10444,-0.0895,-6.81019,-5.94107,-3.45691,-1.85715,-0.99412
1.61E+08,-5.61459,-5.17036,-3.12403,-1.78119,-1.09503,-0.0884,-6.75861,-5.8975,-3.43308,-1.84938,-0.99254
1.63E+08,-5.57671,-5.14244,-3.11162,-1.78158,-1.09814,-0.10169,-6.70331,-5.85127,-3.40709,-1.8349,-0.98888
