Frecuencia,Glifo Poli Cu D 0.1v2,Glifo Poli Cu D 0.08v2,Glifo Poli Cu D 0.04v2,Glifo Poli Cu D 0.02v2,Glifo Poli Cu D 0.01v2,Poli Cu D Agua V2,KCl Poli Cu D 0.1v2,KCl Poli Cu D 0.08v2,KCl Poli Cu D 0.04v2,KCl Poli Cu D 0.02v2,KCl Poli Cu D 0.01v2
2.54E+08,-3.52585,-3.25063,-1.98195,-1.19953,-0.78551,-0.20991,-4.25033,-3.68827,-2.18449,-1.23945,-0.74701
2.55E+08,-3.51125,-3.24366,-1.98116,-1.20316,-0.79361,-0.22153,-4.22226,-3.66157,-2.16837,-1.23578,-0.74274
2.57E+08,-3.48348,-3.21523,-1.96856,-1.1876,-0.78383,-0.21668,-4.19848,-3.64251,-2.16025,-1.22841,-0.73946
2.58E+08,-3.46118,-3.19869,-1.95211,-1.17671,-0.77036,-0.21227,-4.18502,-3.62274,-2.15355,-1.22583,-0.73685
2.59E+08,-3.43282,-3.17467,-1.93432,-1.16962,-0.76611,-0.20756,-4.15365,-3.59286,-2.13088,-1.21297,-0.72685
2.61E+08,-3.41751,-3.15998,-1.93162,-1.17434,-0.77562,-0.22075,-4.12946,-3.57343,-2.12128,-1.20638,-0.72554
2.62E+08,-3.39945,-3.14083,-1.9179,-1.16472,-0.76499,-0.22006,-4.099,-3.55013,-2.10327,-1.19699,-0.71609
2.64E+08,-3.37764,-3.11912,-1.90353,-1.15186,-0.76256,-0.21229,-4.0687,-3.52533,-2.0866,-1.18953,-0.7098
2.65E+08,-3.36301,-3.10877,-1.89931,-1.15611,-0.76575,-0.22539,-4.04689,-3.50472,-2.07305,-1.18019,-0.709
2.66E+08,-3.33653,-3.08209,-1.88475,-1.14661,-0.75756,-0.21974,-4.02008,-3.4836,-2.05633,-1.16874,-0.70221
2.68E+08,-3.30682,-3.05483,-1.85893,-1.12773,-0.74185,-0.21095,-3.98712,-3.44772,-2.03353,-1.15278,-0.69001
2.69E+08,-3.27986,-3.03311,-1.84884,-1.12293,-0.74165,-0.20369,-3.96414,-3.42648,-2.02411,-1.14565,-0.68724
2.71E+08,-3.26601,-3.01379,-1.83705,-1.11872,-0.7383,-0.20632,-3.94059,-3.40395,-2.01772,-1.15208,-0.68723
2.72E+08,-3.24605,-3.00066,-1.83231,-1.11839,-0.74214,-0.22058,-3.91266,-3.38563,-2.00003,-1.13809,-0.68168
2.73E+08,-3.23604,-2.99013,-1.8217,-1.11702,-0.74535,-0.22291,-3.89742,-3.36782,-1.99415,-1.13677,-0.68543
2.75E+08,-3.2056,-2.95559,-1.796,-1.09923,-0.72825,-0.20722,-3.86279,-3.33934,-1.97586,-1.12156,-0.67362
2.76E+08,-3.20091,-2.95073,-1.79563,-1.10617,-0.74283,-0.21989,-3.83548,-3.31553,-1.96012,-1.11215,-0.66612
2.78E+08,-3.19044,-2.93328,-1.78437,-1.10832,-0.73844,-0.2218,-3.8161,-3.29569,-1.95566,-1.10885,-0.66833
2.79E+08,-3.17479,-2.92211,-1.77703,-1.10693,-0.74524,-0.22452,-3.79477,-3.27668,-1.94069,-1.10203,-0.66423
2.80E+08,-3.1571,-2.9084,-1.76455,-1.10362,-0.73803,-0.22558,-3.77967,-3.26531,-1.93999,-1.11123,-0.67202
2.82E+08,-3.1493,-2.89908,-1.75479,-1.10685,-0.74478,-0.22956,-3.75345,-3.23954,-1.92405,-1.09861,-0.66554
2.83E+08,-3.13671,-2.88768,-1.74689,-1.09893,-0.74655,-0.23073,-3.73135,-3.22094,-1.91374,-1.09268,-0.66197
2.85E+08,-3.12339,-2.87726,-1.73613,-1.09927,-0.73861,-0.23342,-3.71026,-3.2063,-1.90315,-1.08716,-0.66052
2.86E+08,-3.12099,-2.87291,-1.7373,-1.10796,-0.75215,-0.24392,-3.68616,-3.18317,-1.89006,-1.07919,-0.65759
2.87E+08,-3.09634,-2.85204,-1.72247,-1.09578,-0.74086,-0.24219,-3.67541,-3.1692,-1.88428,-1.08161,-0.66118
2.89E+08,-3.08131,-2.84554,-1.71982,-1.09227,-0.74492,-0.24198,-3.65585,-3.15854,-1.88051,-1.07916,-0.66536
2.90E+08,-3.06373,-2.83317,-1.71854,-1.08946,-0.74227,-0.24258,-3.63344,-3.14164,-1.87304,-1.07697,-0.66663
2.92E+08,-3.04295,-2.81402,-1.70495,-1.07924,-0.72897,-0.23447,-3.61809,-3.12861,-1.86769,-1.07653,-0.6689
2.93E+08,-3.02921,-2.80613,-1.71154,-1.07691,-0.7315,-0.23918,-3.60135,-3.11496,-1.86135,-1.07538,-0.67349
2.94E+08,-3.01496,-2.78355,-1.70785,-1.06718,-0.72389,-0.24042,-3.59088,-3.10154,-1.85576,-1.07836,-0.67668
2.96E+08,-3.0004,-2.77049,-1.69875,-1.05963,-0.7228,-0.23796,-3.57719,-3.08871,-1.8466,-1.07343,-0.67558
2.97E+08,-2.9794,-2.75526,-1.69267,-1.05251,-0.71398,-0.23297,-3.55949,-3.08171,-1.83919,-1.06933,-0.67549
2.99E+08,-2.96557,-2.74159,-1.68694,-1.04446,-0.71212,-0.23306,-3.56038,-3.07869,-1.84562,-1.08178,-0.68961
3.00E+08,-2.95178,-2.72553,-1.68289,-1.0388,-0.71117,-0.23584,-3.53252,-3.05135,-1.82449,-1.06377,-0.67295
