Frecuencia,Glifo Poli Ag D 0.1v2,Glifo Poli Ag D 0.08v2,Glifo Poli Ag D 0.04v2,Glifo Poli Ag D 0.02v2,Glifo Poli Ag D 0.01v2,Poli Ag D Agua V2,KCl Poli Ag D 0.1v2,KCl Poli Ag D 0.08v2,KCl Poli Ag D 0.04v2,KCl Poli Ag D 0.02v2,KCl Poli Ag D 0.01v2
164113000,-5.66433,-5.52321,-3.54217,-2.25689,-1.59724,-0.55751,-7.31419,-6.49645,-3.93845,-2.31507,-1.46356
165513000,-5.62505,-5.47625,-3.5175,-2.24163,-1.58584,-0.55805,-7.27111,-6.45435,-3.92452,-2.31562,-1.47136
166913000,-5.58448,-5.44528,-3.50184,-2.24019,-1.59127,-0.5715,-7.21139,-6.40156,-3.89394,-2.29597,-1.46477
168313000,-5.5432,-5.40349,-3.479,-2.22662,-1.58517,-0.57157,-7.16063,-6.35484,-3.87001,-2.28864,-1.46194
169713000,-5.51024,-5.37109,-3.46584,-2.22517,-1.5904,-0.585,-7.10558,-6.30353,-3.84512,-2.27256,-1.45995
171113000,-5.46612,-5.32821,-3.44245,-2.2113,-1.58008,-0.58313,-7.06096,-6.26735,-3.82726,-2.27379,-1.46653
172514000,-5.42636,-5.29072,-3.41947,-2.20048,-1.57471,-0.58523,-7.01802,-6.22625,-3.80002,-2.26426,-1.46402
173914000,-5.39391,-5.26418,-3.40518,-2.19931,-1.57943,-0.6007,-6.95932,-6.17325,-3.77541,-2.24937,-1.45682
175314000,-5.35543,-5.22695,-3.38258,-2.18528,-1.56954,-0.5994,-6.90995,-6.13109,-3.7477,-2.2403,-1.45667
176714000,-5.31812,-5.18999,-3.36009,-2.17487,-1.56542,-0.60357,-6.86077,-6.0837,-3.71859,-2.22245,-1.44539
178114000,-5.2787,-5.14922,-3.34212,-2.16609,-1.56295,-0.60636,-6.8104,-6.04064,-3.69558,-2.21411,-1.44453
179514000,-5.24527,-5.11805,-3.32718,-2.16137,-1.5627,-0.61247,-6.76281,-5.99987,-3.67619,-2.20738,-1.44509
180914000,-5.2064,-5.08337,-3.30253,-2.15062,-1.5572,-0.61663,-6.71649,-5.95388,-3.65216,-2.19662,-1.44289
182314000,-5.17262,-5.04512,-3.28294,-2.13876,-1.55198,-0.61906,-6.67371,-5.91413,-3.63487,-2.18853,-1.44274
183714000,-5.14423,-5.01747,-3.26924,-2.13168,-1.55401,-0.62841,-6.62689,-5.8736,-3.60918,-2.17689,-1.44074
185115000,-5.10044,-4.98191,-3.24791,-2.1246,-1.54588,-0.62724,-6.57884,-5.83381,-3.58843,-2.16989,-1.43872
186515000,-5.06758,-4.94542,-3.22761,-2.11666,-1.54289,-0.63186,-6.53296,-5.7899,-3.56068,-2.15678,-1.43051
187915000,-5.04201,-4.91411,-3.21398,-2.11024,-1.54415,-0.64155,-6.48143,-5.74283,-3.53295,-2.13858,-1.42289
189315000,-5.00682,-4.88708,-3.19743,-2.10431,-1.5435,-0.64646,-6.44762,-5.71098,-3.51731,-2.14083,-1.42825
190715000,-4.96993,-4.85126,-3.17915,-2.09378,-1.53512,-0.64747,-6.39669,-5.66769,-3.49113,-2.12135,-1.41973
192115000,-4.94941,-4.82731,-3.16758,-2.09311,-1.54452,-0.65941,-6.36426,-5.62829,-3.46909,-2.11603,-1.42014
193515000,-4.9159,-4.79352,-3.14861,-2.08136,-1.53292,-0.66038,-6.30975,-5.58186,-3.44305,-2.09843,-1.41084
194915000,-4.87968,-4.76157,-3.12646,-2.07079,-1.52752,-0.65797,-6.27531,-5.5557,-3.43286,-2.10066,-1.41623
196315000,-4.84733,-4.73153,-3.10955,-2.06424,-1.5248,-0.66394,-6.2367,-5.51812,-3.41206,-2.0894,-1.41707
197716000,-4.81409,-4.69925,-3.09331,-2.0523,-1.52132,-0.6676,-6.19301,-5.48403,-3.39177,-2.08338,-1.4147
199116000,-4.78538,-4.67621,-3.07571,-2.04803,-1.52185,-0.67275,-6.15191,-5.44074,-3.36917,-2.07085,-1.4106
200516000,-4.75762,-4.64171,-3.06498,-2.04108,-1.52176,-0.67917,-6.10933,-5.40666,-3.34794,-2.06285,-1.40334
201916000,-4.71472,-4.60191,-3.035,-2.02618,-1.50574,-0.66876,-6.06239,-5.36384,-3.32285,-2.04743,-1.39904
203316000,-4.6966,-4.591,-3.03407,-2.03099,-1.51722,-0.68736,-6.03393,-5.33371,-3.3124,-2.04927,-1.40409
204716000,-4.66931,-4.55928,-3.01788,-2.0242,-1.51673,-0.6937,-5.99497,-5.29385,-3.28352,-2.03338,-1.39603
206116000,-4.63366,-4.52975,-3.0013,-2.01739,-1.50732,-0.69351,-5.95328,-5.26848,-3.2761,-2.0316,-1.39908
207516000,-4.59973,-4.49205,-2.97523,-1.9953,-1.49516,-0.68329,-5.92366,-5.2403,-3.26052,-2.02735,-1.40386
208916000,-4.58036,-4.47332,-2.97293,-2.00303,-1.50581,-0.70259,-5.87376,-5.19485,-3.23133,-2.0117,-1.39214
210317000,-4.55439,-4.45648,-2.96251,-1.99974,-1.51046,-0.7118,-5.8457,-5.16698,-3.2188,-2.00875,-1.39488
211717000,-4.52656,-4.42505,-2.94806,-1.99266,-1.50631,-0.71046,-5.81543,-5.13565,-3.20192,-2.00755,-1.39492
213117000,-4.49238,-4.39736,-2.92357,-1.97958,-1.49371,-0.70721,-5.76371,-5.09551,-3.17461,-1.98325,-1.38176
214517000,-4.47425,-4.37342,-2.91407,-1.9781,-1.499,-0.71818,-5.73731,-5.07673,-3.16741,-1.99061,-1.39621
215917000,-4.44187,-4.34551,-2.8982,-1.97013,-1.49852,-0.71891,-5.70664,-5.04434,-3.14952,-1.98161,-1.3921
217317000,-4.41566,-4.31723,-2.88221,-1.96211,-1.48931,-0.72099,-5.67443,-5.01014,-3.13266,-1.97159,-1.38937
218717000,-4.3896,-4.29409,-2.86616,-1.96179,-1.49348,-0.72786,-5.63836,-4.98159,-3.1218,-1.97024,-1.38933
220117000,-4.36971,-4.27102,-2.85415,-1.9506,-1.48682,-0.73109,-5.59684,-4.94315,-3.09981,-1.95866,-1.38337
221517000,-4.34454,-4.24461,-2.84579,-1.94946,-1.4879,-0.72967,-5.57325,-4.92455,-3.08911,-1.96122,-1.39288
222917000,-4.32514,-4.23083,-2.8447,-1.94974,-1.49631,-0.74467,-5.53359,-4.88792,-3.06001,-1.94447,-1.38346
224318000,-4.29177,-4.19784,-2.81589,-1.93439,-1.48497,-0.73686,-5.50702,-4.86094,-3.05142,-1.94472,-1.38678
225718000,-4.27026,-4.17482,-2.80952,-1.93346,-1.49315,-0.75132,-5.47117,-4.83627,-3.04433,-1.94585,-1.39045
227118000,-4.25294,-4.15485,-2.80174,-1.93183,-1.49196,-0.75833,-5.43806,-4.80194,-3.01809,-1.9294,-1.38027
228518000,-4.23054,-4.14481,-2.79555,-1.93277,-1.49305,-0.76636,-5.40695,-4.77695,-3.01722,-1.93149,-1.39289
229918000,-4.20525,-4.11318,-2.78124,-1.92456,-1.48823,-0.7675,-5.38465,-4.75075,-2.99801,-1.92655,-1.39115
231318000,-4.19188,-4.10064,-2.77634,-1.92344,-1.49528,-0.77926,-5.34812,-4.72563,-2.99092,-1.92338,-1.3955
232718000,-4.15948,-4.07205,-2.75669,-1.91927,-1.48995,-0.77889,-5.31691,-4.69257,-2.97167,-1.91067,-1.39069
234118000,-4.14405,-4.05691,-2.75336,-1.91398,-1.49133,-0.78262,-5.29726,-4.67714,-2.96273,-1.91584,-1.3963
235518000,-4.11463,-4.02163,-2.73478,-1.90985,-1.49029,-0.78464,-5.26078,-4.64882,-2.94921,-1.90622,-1.39769
236919000,-4.09432,-4.00586,-2.73055,-1.90769,-1.49059,-0.79638,-5.23724,-4.6314,-2.94369,-1.90968,-1.40213
238319000,-4.08163,-3.99829,-2.72606,-1.90834,-1.49876,-0.80809,-5.20729,-4.60047,-2.91709,-1.89871,-1.39415
239719000,-4.05588,-3.97594,-2.7074,-1.9024,-1.49137,-0.80779,-5.17945,-4.57896,-2.91905,-1.90328,-1.405
241119000,-4.0383,-3.95194,-2.70177,-1.89628,-1.49742,-0.81223,-5.16091,-4.5512,-2.90635,-1.8983,-1.40421
242519000,-4.00759,-3.93114,-2.68328,-1.88476,-1.48753,-0.81115,-5.11827,-4.53562,-2.89545,-1.89732,-1.40832
243919000,-3.99186,-3.90883,-2.67901,-1.89054,-1.48927,-0.81933,-5.10134,-4.51242,-2.88342,-1.89132,-1.40462
245319000,-3.97582,-3.89429,-2.67269,-1.88474,-1.49508,-0.82916,-5.07019,-4.47742,-2.86181,-1.87996,-1.40755
246719000,-3.96304,-3.87749,-2.66845,-1.8915,-1.4983,-0.8401,-5.04208,-4.45209,-2.85658,-1.88117,-1.4012
248119000,-3.93507,-3.85807,-2.64657,-1.88257,-1.49311,-0.83604,-5.00705,-4.43812,-2.84151,-1.8729,-1.40356
249520000,-3.92663,-3.84254,-2.64679,-1.88803,-1.49561,-0.84587,-4.9863,-4.41682,-2.83149,-1.87433,-1.40015
250920000,-3.90897,-3.82498,-2.63672,-1.88087,-1.49683,-0.84974,-4.95888,-4.38723,-2.81301,-1.86475,-1.39483
252320000,-3.88128,-3.8084,-2.62574,-1.87555,-1.4903,-0.84812,-4.95174,-4.3681,-2.81449,-1.86801,-1.40519
253720000,-3.86573,-3.79752,-2.61949,-1.86869,-1.49557,-0.85364,-4.92046,-4.3599,-2.80932,-1.87713,-1.41315
255120000,-3.85248,-3.78321,-2.6184,-1.87508,-1.49807,-0.86642,-4.88974,-4.32753,-2.78562,-1.85281,-1.39726
256520000,-3.83099,-3.75518,-2.60251,-1.86638,-1.49356,-0.86764,-4.85936,-4.29529,-2.77003,-1.84514,-1.39458
257920000,-3.80995,-3.74076,-2.5931,-1.8628,-1.48579,-0.86898,-4.84909,-4.29529,-2.77348,-1.86159,-1.40956
259320000,-3.78519,-3.72141,-2.57484,-1.85195,-1.48459,-0.86533,-4.81343,-4.25831,-2.74564,-1.83338,-1.3946
260720000,-3.777,-3.70436,-2.58237,-1.8595,-1.49733,-0.87903,-4.79921,-4.24674,-2.74786,-1.84014,-1.40213
262121000,-3.76102,-3.68847,-2.56921,-1.85698,-1.49195,-0.88145,-4.77684,-4.22849,-2.7303,-1.8381,-1.40786
263521000,-3.74382,-3.67238,-2.55993,-1.84696,-1.48659,-0.87698,-4.74636,-4.20136,-2.71612,-1.82529,-1.39255
264921000,-3.7321,-3.65896,-2.55696,-1.85489,-1.49335,-0.89162,-4.71542,-4.16856,-2.69131,-1.81407,-1.39075
